day,brief no.,date,new cases,confirmed total cases,new deaths,total deaths,new recoveries,total recoveries,Active cases,Daily tests,total tests,kenya,foreigners,male,total male,female,total female,nairobi,nairobi total,mombasa,mombasa total,kilifi,kilifi total,kwale,kwale total,kajiado,kajiado total,kitui,kitui total,kiambu,kiambu total,kakamega,kakamega total,kisii,kisii total,mandera,mandera total,siaya,siaya total,nakuru,nakuru total,homa bay,homa bay total,uasin gishu,uasin gishu total,wajir,wajir total,migori,migori total,bungoma,bungoma total,busia,busia total,isiolo,isiolo total,machakos,machakos total,bomet,bomet total,T.Taveta,T.Taveta total,Garissa,Garissa total,Meru,Meru total,makueni,makueni total,kirinyaga,kirinyaga total,Trans nzoia,Trans nzoia total,Turkana,Turkana total,kisumu,kisumu total,nyeri,nyeri total,embu,embu total,muranga,muranga total,kericho,kericho total,Laikipi,Laikipia total,E.Marakwet,E.Marakwet total,Marsabit,Marsabit total,Narok,Narok total,Vihiga,Vihiga total,Nandi,Nandi total,Nyamira,Nyamira total,Lamu,Lamu total
23,,04-04-20,4,126,0,3,,,123,372,,3,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,05-04-20,16,142,3,6,,,156,530,3836,15,1,9,,7,,12new,,3new,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,06-04-20,16,158,0,6,,,152,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,07-04-20,14,172,0,6,3,7,159,696,,12,2,8,,6,,7new,,2new,,,,,,,,,,1new,,,,1new,,2new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,08-04-20,7,179,0,6,5,12,157,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,09-04-20,5,184,1,7,0,12,163,308,,3,2,3,107,2,77,3new,,2new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,10-04-20,5,189,0,7,10,22,160,504,6192,5,0,2,109,3,80,1new,,3new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,11-04-20,2,191,0,7,2,24,160,491,,1,1,0,109,2,82,1new,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,12-04-20,6,197,1,8,1,25,164,766,7449,5,1,5,,1,,4new,,1new,,,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,13-04-20,11,208,1,9,15,40,159,674,,11,0,6,,5,,2new,,3new,,,,,,,,,,,,,,,,1new,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,14-04-20,8,216,0,9,1,41,166,694,,5,3,,,,,6new,101,,34,10total,,,,2total,,2total,,7total,,2total,,1total,,6total,,1new2total,,1new5total,,1total,,2total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,15-04-20,9,225,1,10,12,53,162,803,2366,9,0,,,,,9new,,4new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,16-04-20,9,234,1,11,0,53,166,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,17-04-20,12,246,0,11,0,53,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,18-04-20,16,262,1,12,7,60,190,1115,11909,15,1,12,,4,,9new,193,5new,43,,8,1total,,2total,,2total,,,,1total,,,,6total,,,,2total,,1new1total,,1total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,19-04-20,8,270,2,14,7,67,189,1330,13239,7,1,,,,,3new,,4new,,,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,20-04-20,11,281,0,14,2,69,198,633,13872,7,4,6,,5,,4new,,7new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,21-04-20,15,296,0,14,5,74,208,545,14417,11,4,7,,8,,6new,,7new,,,,,,,,,,,,,,,,2new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,22-04-20,7,303,0,14,9,83,206,707,15124,7,0,5,,2,,1new,,6new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,37,23-04-20,17,320,0,14,6,89,217,668,15792,7,,9,,8,,5new,,12new*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,38,24-04-20,16,336,0,14,5,94,220,946,16738,,,7,,9,,11new,,5new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,25-04-20,7,343,0,14,4,98,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,39,26-04-20,12,355,0,14,8,106,232,,,12,0,,,,,8new,,4new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,40,27-04-20,8,363,0,14,8,114,234,,18394,,,,,,,3new,,4new,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
